codigo;familia;nombre;unidad;costo_unitario 
REC002X112;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 2""X1 1/2"" (ASTM A-53)";UND;0
REC212X002;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 2 1/2""X 2"" (ASTM A-53)";UND;0
REC003X002;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 3""X2"" (ASTM A-53)";UND;0
REC003X212;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 3""X2 1/2"" (ASTM A-53)";UND;0
REC004X112;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 4""X1 1/2"" (ASTM A-53)";UND;0
REC004X002;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 4""X2"" (ASTM A-53)";UND;0
REC004X003;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 4""X3"" (ASTM A-53)";UND;0
REC006X001;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 6""X1"" (ASTM A-53)";UND;0
REC006X003;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 6""X3"" (ASTM A-53)";UND;0
REC008X112;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 8""X1 1/2"" (ASTM A-53)";UND;0
REC008X004;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 8""X4"" (ASTM A-53)";UND;0
REC008X006;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 8""X6"" (ASTM A-53)";UND;0
REC010X005;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 10""X5"" (ASTM A-53)";UND;0
REC010X006;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR Ø 10""X6"" (ASTM A-53)";UND;0
REC010X008;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 10""X8"" (ASTM A-53)";UND;0
REC012X010;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 12""X10"" (ASTM A-53)";UND;0
REC014X010;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 14""X10"" (ASTM A-53)";UND;0
REC014X012;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 14""X12"" (ASTM A-53)";UND;0
TEER-1X1X34;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 1""X1""X3/4"" (ASTM A-53)";UND;0
TEER-112X112X12;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 1 1/2""X1 1/2""X1/2"" (ASTM A-53)";UND;0
TEER-112X112X34;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 1 1/2""X1 1/2""X3/4"" (ASTM A-53)";UND;0
TEER-112X112X1;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 1 1/2""X1 1/2""X1"" (ASTM A-53)";UND;0
TEER-2X2X34;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 2""X2""X3/4"" (ASTM A-53)";UND;0
TEER-2X2X1;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 2""X2""X1"" (ASTM A-53)";UND;0
TEER-2X2X112;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 2""X2""X1 1/2"" (ASTM A-53)";UND;0
TEER-3X3X112;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 3""X3""X1 1/2"" (ASTM A-53)";UND;0
TEER-4X4X112;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 4""X4""X1 1/2"" (ASTM A-53)";UND;0
TEER-4X4X2;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 4""X4""X2"" (ASTM A-53)";UND;0
TEER-6X6X3;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 6""X6""X3"" (ASTM A-53)";UND;0
TEER-6X6X4;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 6""X6""X4"" (ASTM A-53)";UND;0
TEER-8X8X4;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 8""X8""X4"" (ASTM A-53)";UND;0
TEER-12X12X8;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 12""X12""X8"" (ASTM A-53)";UND;0
TEER-14X14X8;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 14""X14""X8"" (ASTM A-53)";UND;0
TEER-14X14X10;TUBERIAS;"TEE REDUCTORA ACERO AL CARBONO. Ø 14""X14""X10"" (ASTM A-53)";UND;0
JEB112;TUBERIAS;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150,Ø 1 1/2""";UND;0
JEB003;TUBERIAS;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 3""";UND;0
JEB004;TUBERIAS;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 4""";UND;0
JEB006;TUBERIAS;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 6""";UND;0
JEB008;TUBERIAS;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 8""";UND;0
JEB010;TUBERIAS;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 10""";UND;0
JER034;TUBERIAS;"JUNTA DE EXPANSION, ROSCADA, Ø 3/4""";UND;0
FYB003;TUBERIAS;"FILTRO TIPO Y, BRIDADO, CON BRIDAS ANSI CLASS 150, Ø 3""";UND;0
FYB006;TUBERIAS;"FILTRO TIPO Y, BRIDADO, CON BRIDAS ANSI CLASS 150, Ø 6""";UND;0
FYB010;TUBERIAS;"FILTRO TIPO Y, BRIDADO, CON BRIDAS ANSI CLASS 150, Ø 10""";UND;0
FYR112;TUBERIAS;"FILTRO TIPO Y, ROSCADO NPT, Ø 1 1/2""";UND;0
FYR034;TUBERIAS;"FILTRO TIPO Y, ROSCADO NPT, Ø 3/4""";UND;0
VBR140;VALVULAS;"VALVULA DE BOLA, ROSCADA, Ø 1/4""";UND;0
VBR120;VALVULAS;"VALVULA DE BOLA, ROSCADA, Ø 1/2""";UND;0
VBR034;VALVULAS;"VALVULA DE BOLA, ROSCADA, Ø 3/4""";UND;0
VBR001;VALVULAS;"VALVULA DE BOLA, ROSCADA, Ø 1""";UND;0
VBR112;VALVULAS;"VALVULA DE BOLA , ROSCADA, Ø 1 1/2""";UND;0
VBR002;VALVULAS;"VALVULA DE BOLA , ROSCADA, Ø 2""";UND;0
VCB112;VALVULAS;"VALVULA DE COMPUERTA, ROSCADA, DIÁMETRO Ø 1 1/2""";UND;0
VTV112;VALVULAS;"VALVULA DE TRES VÍAS (ON/OFF) MOTORIZADA, ROSCADA, Ø 1 1/2""";UND;0
VAR001;VALVULAS;"VALVULA DE ALIVIO ROSCADA, DIÁMETRO Ø 1""";UND;0
VBaR112;VALVULAS;"VALVULA DE BALANCEO, ROSCADA, Ø 1 1/2""";UND;0
VCB010;VALVULAS;"VALVULA DE COMPUERTA, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 10""";UND;0
VCKB003;VALVULAS;"VALVULA CHECK, POSICION VERTICAL, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 3""";UND;0
VCKB006;VALVULAS;"VALVULA CHECK, POSICION VERTICAL, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 6""";UND;0
VCKB008;VALVULAS;"VALVULA CHECK, POSICION VERTICAL, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 8""";UND;0
VCKB010;VALVULAS;"VALVULA CHECK, POSICION VERTICAL, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 10""";UND;0
VMB003;VALVULAS;"VALVULA DE MARIPOSA, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 3""";UND;0
VMB006;VALVULAS;"VALVULA DE MARIPOSA, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 6""";UND;0
VMB008;VALVULAS;"VALVULA DE MARIPOSA, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 8""";UND;0
VMACT003;VALVULAS;"VALVULA DE MARIPOSA, BRIDADA CLASS 150, MOTORIZADA, CON ACTUADOR, Ø 3""";UND;0
VMACT008;VALVULAS;"VALVULA DE MARIPOSA, BRIDADA CLASS 150, MOTORIZADA, CON ACTUADOR, Ø 8""";UND;0
FS001;INSTRUMENTOS;"SENSOR DE FLUJO (FLOW SWITCH), CONEXIÓN ROSCADA 1"" NPT";UND;0
MAN001;INSTRUMENTOS;"MANÓMETRO TIPO BOURDON, CONEXIÓN ROSCADA NPT, CONEXIÓN ROSCADA,  DIÁMETRO Ø 1/2""";UND;0
MAN002;INSTRUMENTOS;"MANÓMETRO TIPO BOURDON, CONEXIÓN ROSCADA NPT, CONEXIÓN ROSCADA,  DIÁMETRO Ø 1/4""";UND;0
TER001;INSTRUMENTOS;"TERMÓMETRO, CONEXIÓN ROSCADA NPT, DIÁMETRO Ø 1/2""";UND;0
TA001;INSTRUMENTOS;TERMOSTATO AMBIENTAL  ON/OFF, 3 VELOCIDADES, PARA Umas de 10 TR.;UND;0
CVM001;INSTRUMENTOS;CONTROLADOR P/ VALVULA MOTORIZADA;UND;0
PDIF001;INSTRUMENTOS;PRESOSTATO DIFERENCIAL DE PRESION;UND;0
